timestamp,position,gain,movement_description
1,-0.09,0,No Movement
11,-0.09,0,No Movement
22,0.0,0,No Movement
32,0.0,0,No Movement
43,-0.09,0,No Movement
53,0.0,0,No Movement
64,-0.09,0,No Movement
74,0.0,0,No Movement
84,0.0,0,No Movement
94,-0.09,0,No Movement
104,0.0,0,No Movement
114,0.0,0,No Movement
125,-0.09,0,No Movement
135,0.0,0,No Movement
145,0.0,0,No Movement
156,-0.09,0,No Movement
166,0.0,0,No Movement
176,0.0,0,No Movement
186,0.0,0,No Movement
196,-0.09,0,No Movement
207,0.0,0,No Movement
217,0.0,0,No Movement
228,0.0,0,No Movement
238,-0.09,0,No Movement
249,0.0,0,No Movement
259,0.0,0,No Movement
269,-0.09,0,No Movement
280,0.0,0,No Movement
290,-0.09,0,No Movement
301,0.0,0,No Movement
311,0.0,0,No Movement
321,0.0,0,No Movement
331,-0.09,0,No Movement
341,-0.09,0,No Movement
352,0.0,0,No Movement
362,-0.09,0,No Movement
372,0.0,0,No Movement
382,-0.09,0,No Movement
393,0.0,0,No Movement
403,-0.09,0,No Movement
413,-0.09,0,No Movement
423,0.0,0,No Movement
434,0.0,0,No Movement
444,0.0,0,No Movement
454,0.0,0,No Movement
464,0.0,0,No Movement
475,0.0,0,No Movement
486,-0.09,0,No Movement
496,0.0,0,No Movement
507,0.0,0,No Movement
517,0.0,0,No Movement
528,0.0,0,No Movement
538,0.0,0,No Movement
548,0.0,0,No Movement
558,0.0,0,No Movement
569,0.0,0,No Movement
579,0.0,0,No Movement
589,0.0,0,No Movement
599,-0.09,0,No Movement
609,0.0,0,No Movement
619,0.0,0,No Movement
630,0.0,0,No Movement
641,0.0,0,No Movement
651,0.0,0,No Movement
662,0.0,0,No Movement
672,0.0,0,No Movement
683,0.0,0,No Movement
693,-0.09,0,No Movement
704,-0.09,0,No Movement
714,0.0,0,No Movement
725,0.0,0,No Movement
735,0.0,0,No Movement
746,0.0,0,No Movement
756,0.0,0,No Movement
767,-0.09,0,No Movement
777,0.0,0,No Movement
788,0.0,0,No Movement
798,-0.09,0,No Movement
809,-0.09,0,No Movement
819,-0.09,0,No Movement
829,0.0,0,No Movement
839,0.0,0,No Movement
850,-0.09,0,No Movement
860,0.0,0,No Movement
871,0.0,0,No Movement
881,-0.09,0,No Movement
891,0.0,0,No Movement
901,0.0,0,No Movement
911,-0.09,0,No Movement
922,0.0,0,No Movement
932,0.0,0,No Movement
943,-0.09,0,No Movement
953,0.0,0,No Movement
963,-0.09,0,No Movement
973,0.0,0,No Movement
984,-0.09,0,No Movement
994,0.0,0,No Movement
